County,(To sort by county and year),(To sort by year and county),Year,State and County FIPS Code,Alzheimer's Disease/Dementia Prevalence (%),Arthritis Prevalence (%),Asthma Prevalence (%),Atrial Fibrillation Prevalence (%),Autism Spectrum Disorders Prevalence (%),COPD Prevalence (%),Cancer Prevalence (%),Chronic Kidney Disease Prevalence (%),Depression  Prevalence (%),Diabetes Prevalence (%),HIV/AIDS Prevalence (%),Heart Failure Prevalence (%),Hepatitis (Chronic Viral B & C) Prevalence (%),Hyperlipidemia Prevalence (%),Hypertension Prevalence (%),Ischemic Heart Disease Prevalence (%),Osteoporosis Prevalence (%),Schizophrenia/Other Psychotic Disorders Prevalence (%),Stroke Prevalence (%)
Mason,53045 2009,200953045,2009,53045,7.0,21.3,3.3,8.2,,8.7,7.5,9.1,11.2,20.8,0.2,12.9,0.8,32.8,42.2,21.9,3.8,1.5,2.6
Okanogan,53047 2009,200953047,2009,53047,7.8,19.4,3.0,7.0,,8.8,6.3,11.0,12.5,21.9,0.2,11.7,0.5,33.7,38.6,20.6,3.2,1.9,2.7
Pacific,53049 2009,200953049,2009,53049,7.8,23.2,3.5,8.6,,11.7,7.6,9.7,11.2,25.5,,15.5,0.7,40.0,52.9,25.1,4.3,1.7,3.4
Pend Oreille,53051 2009,200953051,2009,53051,6.3,20.3,2.3,5.3,0.0,9.2,5.9,9.7,8.7,22.1,,11.5,0.9,30.3,35.2,20.6,4.3,1.8,2.1
Pierce,53053 2009,200953053,2009,53053,8.9,22.3,4.0,7.3,0.1,9.9,6.7,12.9,12.9,22.9,0.2,14.9,1.0,36.0,47.2,20.4,6.0,3.4,3.4
San Juan,53055 2009,200953055,2009,53055,7.4,18.4,2.5,9.3,0.0,3.6,8.1,6.9,10.8,12.6,,8.7,0.6,30.4,37.9,17.0,2.7,1.1,2.3
Skagit,53057 2009,200953057,2009,53057,8.8,20.2,3.2,9.3,0.1,7.6,7.7,9.6,13.7,20.6,0.1,11.7,0.6,34.0,46.0,20.3,4.3,2.6,2.8
Skamania,53059 2009,200953059,2009,53059,6.1,14.6,3.1,6.7,,6.8,5.8,9.3,9.6,20.3,,11.1,,26.9,39.4,15.9,1.9,1.5,1.5
Snohomish,53061 2009,200953061,2009,53061,9.1,20.2,3.4,7.5,0.1,7.7,7.0,13.7,13.5,22.7,0.3,12.1,0.9,31.5,42.1,20.7,4.4,3.4,3.3
Spokane,53063 2009,200953063,2009,53063,10.2,23.6,3.7,7.8,0.1,10.0,7.1,12.6,13.1,21.6,0.2,12.5,0.7,36.9,45.2,21.3,6.8,3.7,3.6
Stevens,53065 2009,200953065,2009,53065,6.8,22.9,3.7,7.3,,11.3,6.8,9.3,8.8,21.0,,12.1,0.7,28.2,36.1,22.8,4.7,2.1,2.8
Thurston,53067 2009,200953067,2009,53067,8.8,21.2,4.0,6.8,0.1,8.1,6.8,10.9,12.9,20.5,0.2,13.4,0.8,31.6,40.4,20.6,5.1,3.2,2.8
Wahkiakum,53069 2009,200953069,2009,53069,7.4,22.2,4.8,10.1,0.0,9.2,6.9,12.6,9.8,23.1,,14.9,,32.1,46.3,24.5,3.8,2.3,3.4
Walla Walla,53071 2009,200953071,2009,53071,11.7,23.7,4.9,9.3,,9.1,9.1,9.8,12.6,22.9,,14.9,0.4,36.1,45.5,23.1,6.5,2.8,3.2
Whatcom,53073 2009,200953073,2009,53073,9.3,18.7,4.2,9.7,0.1,7.7,7.4,11.5,13.9,20.7,0.2,12.7,1.5,36.5,46.4,23.4,5.4,3.5,2.9
Whitman,53075 2009,200953075,2009,53075,10.6,32.7,6.8,8.1,,10.6,8.0,13.1,10.5,23.2,,16.8,0.4,32.7,47.7,25.6,6.2,3.4,3.7
Yakima,53077 2009,200953077,2009,53077,8.9,23.7,3.7,7.3,0.0,9.2,7.3,11.6,12.9,27.3,0.1,14.4,0.7,38.0,45.9,24.3,4.9,2.9,3.3
State Total,.2010,201053000,2010,.,9.3,22.4,3.9,7.9,0.1,8.5,7.0,12.8,13.4,22.4,0.3,12.7,0.9,35.3,45.0,20.9,5.1,3.2,3.1
Adams,53001 2010,201053001,2010,53001,11.2,25.1,3.1,7.6,0.0,8.9,6.3,14.2,12.2,30.4,,14.0,,38.2,49.0,25.4,4.0,2.0,2.3
Asotin,53003 2010,201053003,2010,53003,10.0,26.4,4.7,8.5,,10.5,9.2,12.5,11.6,25.4,,17.3,0.5,37.9,48.5,24.2,5.1,2.4,3.4
Benton,53005 2010,201053005,2010,53005,11.2,26.9,5.2,7.3,0.1,10.9,7.5,12.9,13.4,27.5,0.1,12.6,0.6,45.8,50.7,25.4,6.1,2.6,3.9
Chelan,53007 2010,201053007,2010,53007,9.5,22.3,3.1,9.3,,7.6,7.1,10.1,15.8,21.0,,10.4,0.5,34.2,43.3,18.2,4.8,2.5,3.4
Clallam,53009 2010,201053009,2010,53009,7.8,26.4,4.0,8.0,,8.4,6.8,9.1,11.7,20.0,0.1,11.8,0.8,33.2,43.3,19.5,5.3,2.2,2.4
Clark,53011 2010,201053011,2010,53011,9.1,18.9,4.6,7.7,0.1,8.5,6.3,14.1,14.5,24.5,0.1,14.7,0.9,32.4,45.0,20.3,4.0,3.3,3.4
Columbia,53013 2010,201053013,2010,53013,10.5,22.8,3.9,6.9,,12.8,8.4,14.3,14.6,23.5,,15.4,,40.3,43.4,25.0,3.8,3.6,2.2
Cowlitz,53015 2010,201053015,2010,53015,9.8,23.0,4.9,8.5,0.1,11.8,6.5,14.5,16.8,24.8,0.2,16.4,0.7,34.0,47.8,22.1,5.9,4.5,2.9
Douglas,53017 2010,201053017,2010,53017,8.9,24.2,3.3,8.9,,8.9,7.8,10.9,16.1,22.4,,11.9,0.4,37.8,44.6,20.4,5.2,1.9,3.8
Ferry,53019 2010,201053019,2010,53019,5.4,17.3,3.3,6.2,0.0,9.7,5.0,7.7,9,19.8,,11.2,0.9,27.3,34.3,21.1,2.6,1.6,3.0
Franklin,53021 2010,201053021,2010,53021,9.5,23.6,5.0,5.8,,10.0,6.5,13.0,12.1,30.6,,11.7,0.9,45.9,47.9,24.5,4.5,2.7,3.3
Garfield,53023 2010,201053023,2010,53023,13.6,27.9,2.9,6.2,0.0,9.9,9.2,15.2,13.6,29.9,0.0,16.5,,45.3,52.1,26.8,6.2,,4.2
Grant,53025 2010,201053025,2010,53025,8.4,26.0,3.0,7.6,,9.4,6.5,11.0,11.9,27.4,0.2,13.4,0.5,37.6,46.3,21.9,3.7,2.2,3.2
